InvoiceNo,InvoiceDate,CustomerCode,CustomerName,BillAmount,AmountReceived,Outstanding
INV-05001,2026-03-31,C001,Anand Trading Co,238587.1,220359.27,18227.83
INV-05002,2026-03-07,C001,Anand Trading Co,50716.26,43142.46,7573.8
INV-05003,2026-04-29,C002,Bhuvana Garments,108721.54,102930.61,5790.93
INV-05004,2026-04-16,C002,Bhuvana Garments,198703.41,175540.53,23162.88
INV-05005,2026-03-18,C003,Chennai Imports Pvt Ltd,218774.25,93215.12,125559.13
INV-05006,2026-03-06,C003,Chennai Imports Pvt Ltd,164146.27,131097.54,33048.73
INV-05007,2025-12-29,C003,Chennai Imports Pvt Ltd,217249.44,119310.78,97938.66
INV-05008,2026-03-18,C003,Chennai Imports Pvt Ltd,206178.76,123780.95,82397.81
INV-05009,2025-11-27,C003,Chennai Imports Pvt Ltd,33814.41,14029.58,19784.83
INV-05010,2026-04-06,C003,Chennai Imports Pvt Ltd,208460.01,112081.68,96378.33
INV-05011,2026-03-29,C003,Chennai Imports Pvt Ltd,114606.97,55564.09,59042.88
INV-05012,2026-03-14,C003,Chennai Imports Pvt Ltd,126272.86,53200.75,73072.11
INV-05013,2026-04-04,C004,Devi Stores,29590.29,28052.32,1537.97
INV-05014,2026-04-28,C004,Devi Stores,206782.55,184133.88,22648.67
INV-05015,2026-03-24,C004,Devi Stores,20686.03,18114.58,2571.45
INV-05016,2026-04-12,C004,Devi Stores,112790.63,100475.3,12315.33
INV-05017,2026-02-13,C004,Devi Stores,210090.72,183005.22,27085.5
INV-05018,2026-03-12,C004,Devi Stores,133209.5,128188.77,5020.73
INV-05019,2026-04-07,C004,Devi Stores,184121.88,181566.55,2555.33
INV-05020,2025-12-11,C005,Eswar Enterprises,229339.43,6725.46,222613.97
INV-05021,2026-04-07,C005,Eswar Enterprises,72016.41,17540.72,54475.69
INV-05022,2026-04-12,C006,Fortune Distributors,138811.93,96962.82,41849.11
INV-05023,2026-04-22,C006,Fortune Distributors,35451.9,22874.67,12577.23
INV-05024,2026-02-15,C006,Fortune Distributors,75027.6,37918.48,37109.12
INV-05025,2026-03-15,C006,Fortune Distributors,25505.03,12063.15,13441.88
INV-05026,2026-03-26,C006,Fortune Distributors,199290.88,145379.82,53911.06
INV-05027,2026-03-05,C007,Geetha Silks,152568.4,136709.05,15859.35
INV-05028,2026-04-11,C007,Geetha Silks,91843.14,85482.1,6361.04
INV-05029,2026-04-17,C007,Geetha Silks,240278.29,223496.61,16781.68
INV-05030,2026-04-12,C007,Geetha Silks,162749.49,145623.72,17125.77
INV-05031,2026-03-22,C007,Geetha Silks,184736.62,174041.07,10695.55
INV-05032,2026-01-30,C007,Geetha Silks,178195.7,153639.14,24556.56
INV-05033,2026-03-29,C008,Hariharan & Sons,184594.92,176371.27,8223.65
INV-05034,2025-12-16,C008,Hariharan & Sons,227924.93,201546.82,26378.11
INV-05035,2026-01-01,C008,Hariharan & Sons,40206.89,40145.66,61.23
INV-05036,2026-04-04,C008,Hariharan & Sons,116446.82,103185.26,13261.56
INV-05037,2026-02-20,C008,Hariharan & Sons,28339.38,26039.36,2300.02
INV-05038,2026-04-02,C008,Hariharan & Sons,235242.48,224678.57,10563.91
INV-05039,2026-02-01,C008,Hariharan & Sons,176451.79,157030.25,19421.54
INV-05040,2026-02-10,C009,Indus Apparels,125806.4,1985.49,123820.91
INV-05041,2026-04-07,C009,Indus Apparels,171487.64,24179.85,147307.79
INV-05042,2026-02-23,C009,Indus Apparels,64464.31,10732.72,53731.59
INV-05043,2026-03-29,C009,Indus Apparels,132493.86,24933.25,107560.61
INV-05044,2026-04-19,C009,Indus Apparels,178484.58,44993.26,133491.32
INV-05045,2026-02-11,C009,Indus Apparels,196493.04,36548.44,159944.6
INV-05046,2026-04-20,C009,Indus Apparels,142658.47,32339.01,110319.46
INV-05047,2026-03-04,C009,Indus Apparels,198609.39,13241.65,185367.74
INV-05048,2026-03-28,C010,Jaya Marketing,94224.26,61071.18,33153.08
INV-05049,2026-04-14,C010,Jaya Marketing,72778.63,44066.87,28711.76
INV-05050,2026-01-31,C010,Jaya Marketing,29542.53,21453.48,8089.05
INV-05051,2025-11-23,C010,Jaya Marketing,29342.3,13881.86,15460.44
INV-05052,2026-02-04,C010,Jaya Marketing,130712.23,79014.55,51697.68
INV-05053,2026-04-22,C010,Jaya Marketing,205170.36,87269.93,117900.43
INV-05054,2026-04-15,C010,Jaya Marketing,23568.81,10949.72,12619.09
INV-05055,2026-03-27,C010,Jaya Marketing,18426.21,11629.19,6797.02
INV-05056,2026-03-19,C011,Kannan Wholesale,143810.94,136586.72,7224.22
INV-05057,2026-04-13,C011,Kannan Wholesale,133772.16,130420.55,3351.61
INV-05058,2026-02-15,C011,Kannan Wholesale,45793.47,45519.19,274.28
INV-05059,2026-03-14,C011,Kannan Wholesale,30786.25,30634.8,151.45
INV-05060,2026-04-09,C011,Kannan Wholesale,53470.36,50971.64,2498.72
INV-05061,2026-03-23,C011,Kannan Wholesale,178526.25,171601.19,6925.06
INV-05062,2026-04-07,C011,Kannan Wholesale,209932.52,194432.95,15499.57
INV-05063,2026-03-02,C011,Kannan Wholesale,81283.54,78152.4,3131.14
INV-05064,2026-04-08,C012,Lakshmi Retail,90592.72,1346.86,89245.86
INV-05065,2026-04-02,C012,Lakshmi Retail,112198.4,14154.15,98044.25
INV-05066,2026-03-22,C012,Lakshmi Retail,227852.48,53550.57,174301.91
INV-05067,2026-04-09,C012,Lakshmi Retail,151031.56,28731.16,122300.4
