Month,Branch,Category,Revenue,Customers
2025-01,Chennai,Textiles,431303.33,349
2025-01,Chennai,Electronics,256491.58,174
2025-01,Chennai,Groceries,271735.78,253
2025-01,Chennai,Stationery,130129.21,90
2025-01,Chennai,Home,135423.88,109
2025-01,Coimbatore,Textiles,248388.88,185
2025-01,Coimbatore,Electronics,215109.88,268
2025-01,Coimbatore,Groceries,203861.72,154
2025-01,Coimbatore,Stationery,93866.3,91
2025-01,Coimbatore,Home,91069.28,66
2025-01,Madurai,Textiles,274379.82,187
2025-01,Madurai,Electronics,190151.14,188
2025-01,Madurai,Groceries,144380.14,156
2025-01,Madurai,Stationery,85296.76,73
2025-01,Madurai,Home,86483.88,95
2025-01,Tiruchirappalli,Textiles,218221.67,201
2025-01,Tiruchirappalli,Electronics,147035.58,148
2025-01,Tiruchirappalli,Groceries,161600.74,196
2025-01,Tiruchirappalli,Stationery,68511.67,51
2025-01,Tiruchirappalli,Home,92077.0,93
2025-01,Salem,Textiles,196342.16,165
2025-01,Salem,Electronics,155499.19,168
2025-01,Salem,Groceries,137329.42,166
2025-01,Salem,Stationery,64441.6,58
2025-01,Salem,Home,71302.8,66
2025-02,Chennai,Textiles,390678.32,325
2025-02,Chennai,Electronics,275862.01,265
2025-02,Chennai,Groceries,208238.25,144
2025-02,Chennai,Stationery,97934.71,82
2025-02,Chennai,Home,136641.59,119
2025-02,Coimbatore,Textiles,215295.12,180
2025-02,Coimbatore,Electronics,186241.66,129
2025-02,Coimbatore,Groceries,173580.32,188
2025-02,Coimbatore,Stationery,72104.44,51
2025-02,Coimbatore,Home,90206.27,87
2025-02,Madurai,Textiles,220428.78,244
2025-02,Madurai,Electronics,182210.48,193
2025-02,Madurai,Groceries,167164.48,203
2025-02,Madurai,Stationery,73574.9,57
2025-02,Madurai,Home,86562.25,74
2025-02,Tiruchirappalli,Textiles,198147.09,175
2025-02,Tiruchirappalli,Electronics,131830.9,128
2025-02,Tiruchirappalli,Groceries,117804.18,97
