CustomerID,Tenure_months,Plan,MonthlyCharge,TotalSpend,DataUsage_GB,ServiceCalls,AutoPay,Churned
BMC00001,14,Standard,382.28,5196.69,12.2,0,Yes,No
BMC00002,8,Basic,211.53,1722.55,5.8,0,No,No
BMC00003,11,Basic,218.42,2334.15,63.5,1,Yes,No
BMC00004,14,Basic,194.15,2814.76,58.9,5,Yes,No
BMC00005,21,Family,983.23,19878.83,59.2,4,No,No
BMC00006,27,Basic,199.85,5441.9,46.4,0,Yes,No
BMC00007,41,Standard,388.85,15722.57,40.9,4,No,No
BMC00008,50,Premium,741.6,37768.35,47.3,6,Yes,No
BMC00009,4,Standard,433.89,1762.75,44.2,1,No,No
BMC00010,5,Standard,422.67,2022.5,9.0,1,Yes,No
BMC00011,32,Standard,388.74,12500.29,30.9,1,Yes,No
BMC00012,38,Standard,382.08,14285.92,56.9,0,No,No
BMC00013,30,Standard,429.36,12330.0,72.3,2,No,No
BMC00014,43,Family,972.26,41755.16,38.7,0,Yes,No
BMC00015,31,Basic,202.4,6174.45,19.4,3,Yes,No
BMC00016,10,Family,993.24,9746.34,5.9,0,Yes,No
BMC00017,21,Basic,215.17,4608.22,29.2,3,Yes,No
BMC00018,33,Family,966.17,30857.17,79.5,0,No,No
BMC00019,33,Premium,664.86,22276.84,77.9,0,No,No
BMC00020,16,Basic,198.77,3081.76,14.2,1,No,Yes
BMC00021,9,Premium,702.11,6266.3,47.4,0,No,No
BMC00022,1,Family,992.13,977.42,43.8,2,Yes,No
BMC00023,59,Family,1060.11,65665.06,47.6,1,Yes,No
BMC00024,6,Standard,395.43,2263.78,3.9,3,No,No
BMC00025,1,Family,1034.32,1023.37,58.5,3,No,Yes
BMC00026,18,Basic,204.59,3664.31,20.1,0,Yes,No
BMC00027,48,Basic,198.76,9904.62,16.7,0,No,Yes
BMC00028,36,Standard,399.77,14168.07,3.1,4,Yes,No
BMC00029,54,Standard,434.16,24477.88,38.1,2,No,No
BMC00030,32,Standard,390.63,12817.47,20.1,2,Yes,No
BMC00031,16,Premium,718.29,11194.44,2.7,1,Yes,No
BMC00032,57,Premium,671.59,39395.48,2.2,5,No,No
BMC00033,40,Standard,391.86,15291.95,17.8,0,No,Yes
BMC00034,37,Standard,401.14,14258.75,33.6,1,No,No
BMC00035,30,Premium,763.74,23945.36,46.1,4,No,No
BMC00036,7,Premium,750.48,5300.51,50.8,1,No,No
BMC00037,14,Basic,212.28,2875.1,13.7,0,Yes,Yes
BMC00038,3,Standard,410.74,1229.41,49.9,0,Yes,No
BMC00039,1,Family,1029.89,1029.59,46.4,4,No,Yes
BMC00040,11,Standard,416.29,4610.3,21.9,1,Yes,No
BMC00041,13,Basic,205.27,2760.43,7.7,1,No,Yes
BMC00042,19,Premium,714.79,13516.69,48.4,1,Yes,Yes
BMC00043,68,Standard,384.84,25292.52,5.4,3,Yes,No
BMC00044,14,Premium,727.95,9857.93,13.7,0,Yes,No
BMC00045,47,Premium,676.11,30740.62,27.4,1,Yes,No
BMC00046,36,Standard,404.07,13931.3,21.5,1,Yes,No
BMC00047,25,Standard,409.85,10190.67,73.9,0,Yes,No
BMC00048,40,Standard,425.66,16506.98,25.9,5,Yes,No
BMC00049,25,Basic,207.83,5085.76,56.8,0,Yes,No
BMC00050,30,Standard,423.18,12957.97,71.2,2,No,No
BMC00051,49,Standard,423.54,21000.57,11.9,0,No,No
BMC00052,1,Basic,206.65,209.56,23.2,0,No,No
BMC00053,1,Standard,421.76,432.98,20.9,2,Yes,No
BMC00054,42,Standard,385.93,16797.46,69.6,0,Yes,No
BMC00055,4,Premium,721.31,2959.76,56.5,2,No,No
BMC00056,50,Family,961.87,49342.63,63.1,0,Yes,No
BMC00057,11,Family,964.27,10226.53,76.0,4,No,No
BMC00058,20,Basic,210.01,4241.59,38.3,3,No,Yes
BMC00059,47,Standard,383.17,17581.96,19.0,2,Yes,Yes
BMC00060,24,Standard,382.65,8994.9,54.3,2,Yes,No
BMC00061,1,Basic,202.57,207.87,63.8,2,No,No
BMC00062,30,Premium,693.48,21254.98,66.1,2,No,No
BMC00063,32,Basic,202.09,6578.82,35.5,4,Yes,No
BMC00064,41,Standard,426.84,17404.56,8.9,4,Yes,Yes
BMC00065,8,Basic,218.54,1676.75,6.3,4,Yes,No
BMC00066,1,Premium,733.5,723.67,5.3,2,No,Yes
BMC00067,58,Family,1081.7,61689.22,60.0,4,Yes,No
BMC00068,50,Premium,726.94,35058.06,29.0,4,Yes,Yes
BMC00069,48,Premium,700.29,33932.4,56.3,2,Yes,No
BMC00070,54,Standard,405.57,22816.49,63.2,5,No,No
BMC00071,24,Standard,398.64,9303.28,45.9,0,No,No
BMC00072,18,Premium,734.02,13187.44,34.0,0,Yes,No
BMC00073,51,Basic,194.5,9628.96,4.5,7,Yes,No
BMC00074,28,Basic,194.13,5300.38,47.8,0,Yes,No
BMC00075,39,Premium,749.22,29568.56,24.4,0,No,No
BMC00076,2,Basic,192.18,382.07,59.4,6,Yes,Yes
BMC00077,30,Family,991.11,30700.74,30.8,1,No,No
BMC00078,1,Basic,206.42,216.1,7.6,0,Yes,Yes
BMC00079,40,Standard,384.38,14629.68,52.1,5,Yes,No
BMC00080,22,Basic,208.36,4720.52,46.1,4,Yes,No
BMC00081,43,Family,1051.02,45093.37,34.9,0,No,No
BMC00082,18,Standard,379.25,7140.56,77.3,6,Yes,Yes
BMC00083,45,Standard,394.48,17901.55,57.2,0,No,No
BMC00084,37,Basic,199.61,7536.04,63.7,4,Yes,Yes
BMC00085,1,Basic,215.28,225.97,75.0,0,Yes,Yes
BMC00086,10,Premium,764.01,7618.79,69.2,0,No,No
BMC00087,1,Basic,194.25,203.0,61.7,1,Yes,No
