Month,AdSpend,SalesRevenue,Channel
2024-01,145585.25,1189389.27,Digital
2024-02,185011.1,1481999.29,Print
2024-03,146699.67,1226794.7,Outdoor
2024-04,54640.69,452408.91,Social
2024-05,151598.18,1175145.21,Digital
2024-06,51731.38,411435.87,Print
2024-07,164331.73,1374846.08,Outdoor
2024-08,209464.62,1701021.8,Social
2024-09,75542.77,669545.76,Digital
2024-10,194885.75,1967861.04,Print
2024-11,110648.75,1104510.18,Outdoor
2024-12,107168.82,1128947.93,Social
2025-01,84411.23,685380.14,Digital
2025-02,60208.56,541628.05,Print
2025-03,153901.54,1280321.83,Outdoor
2025-04,42558.17,375815.56,Social
2025-05,61078.21,529586.31,Digital
2025-06,139178.01,1129743.99,Print
2025-07,65254.36,511307.28,Outdoor
2025-08,85087.75,703609.36,Social
2025-09,80094.18,695360.62,Digital
2025-10,117014.89,1189566.99,Print
2025-11,109811.12,1162020.76,Outdoor
2025-12,69355.62,713046.03,Social
