Date,Description,Debit,Credit,Balance
2026-01-01,Annual Day Expenses,2562.25,,1497437.75
2026-01-03,Govt Grant Disbursed,,109041.65,1606479.4
2026-01-05,Books Purchase,60715.95,,1545763.45
2026-01-07,Cleaning Services,34537.26,,1511226.19
2026-01-09,Workshop Income,,175028.52,1686254.71
2026-01-11,Alumni Contribution,,218578.19,1904832.9
2026-01-13,Travel Reimbursement,6814.11,,1898018.79
2026-01-15,Workshop Income,,212169.66,2110188.45
2026-01-17,Electricity Bill - TANGEDCO,92407.39,,2017781.06
2026-01-19,Software License,92800.87,,1924980.19
2026-01-21,Bank Interest,,224412.66,2149392.85
2026-01-23,Electricity Bill - TANGEDCO,71144.73,,2078248.12
2026-01-25,Bank Interest,,217220.63,2295468.75
2026-01-27,Alumni Contribution,,219303.73,2514772.48
2026-01-29,Fee Collection - Semester,,178298.4,2693070.88
2026-01-31,Bank Interest,,91473.9,2784544.78
2026-02-02,Salary Payment,17460.28,,2767084.5
2026-02-04,Internet Bill - ACT,43512.18,,2723572.32
2026-02-06,Govt Grant Disbursed,,121989.23,2845561.55
2026-02-08,Stationery Purchase,34873.17,,2810688.38
2026-02-10,Travel Reimbursement,52050.13,,2758638.25
2026-02-12,Software License,45241.88,,2713396.37
2026-02-14,Donation Received,,317217.0,3030613.37
2026-02-16,Cleaning Services,63642.46,,2966970.91
2026-02-18,Cleaning Services,35087.56,,2931883.35
2026-02-20,Electricity Bill - TANGEDCO,59162.93,,2872720.42
2026-02-22,Salary Payment,28665.32,,2844055.1
2026-02-24,Internet Bill - ACT,4590.04,,2839465.06
2026-02-26,Internet Bill - ACT,77439.83,,2762025.23
2026-02-28,Software License,11038.6,,2750986.63
2026-03-02,Bank Interest,,160591.07,2911577.7
2026-03-04,Fee Collection - Semester,,254285.0,3165862.7
2026-03-06,Internet Bill - ACT,91560.48,,3074302.22
2026-03-08,Internet Bill - ACT,35554.88,,
2026-03-10,Hostel Fee,,181315.12,3220062.46
2026-03-12,Fee Collection - Semester,,324129.08,3544191.54
2026-03-14,Alumni Contribution,,83299.32,3627490.86
2026-03-16,Books Purchase,40419.33,,3587071.53
2026-03-18,Books Purchase,75745.03,,3511326.5
2026-03-20,Software License,80524.52,,3430801.98
2026-03-22,Hostel Fee,,54406.18,3485208.16
2026-03-24,Security Services,78576.83,,3406631.33
2026-03-26,Bank Interest,,231477.15,3638108.48
2026-03-28,Books Purchase,71526.97,,3566581.51
2026-03-30,Donation Received,,139644.92,3706226.43
2026-04-01,Lab Equipment,94418.3,,3611808.13
2026-04-03,Lab Equipment,10076.42,,3601731.71
2026-04-05,Internet Bill - ACT,30956.94,,3570774.77
2026-04-07,Annual Day Expenses,31382.83,,3539391.94
2026-04-09,Annual Day Expenses,15094.62,,3524297.32
2026-04-11,Govt Grant Disbursed,,45891.97,3570189.29
2026-04-13,Fee Collection - Semester,,289917.97,3860107.26
2026-04-15,Books Purchase,49682.99,,3810424.27
2026-04-17,Govt Grant Disbursed,,265520.71,4075944.98
2026-04-19,Books Purchase,21876.65,,4054068.33
2026-04-21,Annual Day Expenses,13287.58,,4040780.75
2026-04-23,Books Purchase,7762.28,,4033018.47
2026-04-25,Security Services,17052.11,,4015966.36
2026-04-27,Govt Grant Disbursed,,131730.72,4147697.08
2026-04-29,Books Purchase,83419.41,,4064277.67
